"type","horse","CO2"
"guards",300,217.8994511
"guards",300,376.1786993
"guards",300,366.58
"guards",300,211.99
"guards",448,405.25
"guards",448,252.2
"guards",448,458.13
"guards",448,267.9
"guards",448,257.3810855
"guards",448,420.3248942
"guards",448,418.7225
"guards",448,256.790705
"guards",448,419.082543
"guards",448,458.96
"guards",448,263.16
"guards",448,471.97
"guards",448,263.96
"guards",448,424.2
"guards",448,268.78
"guards",448,459.27
"guards",448,263.96
"guards",255,334.88
"guards",255,334.88
"guards",255,334.88
"guards",255,334.88
"guards",255,216.13
"guards",255,216.13
"guards",255,216.13
"guards",255,216.13
"guards",255,360.95
"guards",255,360.95
"guards",255,360.95
"guards",255,360.95
"guards",255,355.56
"guards",255,355.56
"guards",255,355.56
"guards",255,355.56
"guards",255,218.81
"guards",255,218.81
"guards",255,218.81
"guards",255,218.81
"guards",300,219.65
"guards",300,377.04
"guards",300,369.8
"guards",300,226.18
"guards",300,360.85
"guards",300,220.29
"guards",300,375.93
"guards",300,219.66
"guards",300,362.85
"guards",300,228.15
"guards",300,380.32
"guards",300,227.06
"guards",448,428.57
"guards",448,258.54
"guards",448,442.6
"guards",448,259.04
"guards",448,406.45
"guards",448,251.59
"guards",448,443.74
"guards",448,256.94
"guards",448,259.7
"guards",448,440.07
"guards",448,475.09
"guards",448,274.04
"guards",448,426.99
"guards",448,255.62
"guards",448,442.67
"guards",448,254.62
"guards",448,430.34
"guards",448,264.55
"guards",448,458.5
"guards",448,267.97
"guards",448,447.75
"guards",448,263.54
"guards",448,263.54
"guards",448,451.23
"guards",535,574.75
"guards",535,316.09
"guards",300,200.3050615
"guards",300,285.3144899
"guards",300,262.63
"guards",300,184.22
"guards",300,351.06
"guards",300,391.34
"guards",300,325.08889
"guards",300,308.87385
"guards",300,211.76469
"guards",300,211.00119
"guards",300,326.8325
"guards",300,318.3974551
"guards",300,327.44
"guards",300,390.36
"guards",300,386.75
"guards",300,205.12
"guards",300,319.35
"guards",300,208.07
"guards",300,310.71
"guards",300,206.88
"guards",540,442.29
"guards",540,278.67
"guards",540,467.79
"guards",540,284.22
"guards",540,492.9
"guards",540,283.56
"guards",11,169.44
"guards",11,227.82
"guards",11,207.88
"guards",11,202.6
"guards",11,169.81
"guards",231,398.92
"guards",231,296.88
"guards",231,293.84
"guards",231,231.2274381
"guards",231,192.4388341
"forwards",300,338.64
"forwards",300,205.28
"forwards",300,339.97
"forwards",300,204.35
"forwards",300,339.77
"forwards",300,206.19
"forwards",300,350.88
"forwards",300,206.09
"forwards",300,220.94
"forwards",300,351.44
"forwards",300,232.4
"forwards",300,360.86
"forwards",300,342.58
"forwards",300,219.52
"forwards",300,366.54
"forwards",300,369.89
"forwards",300,241.97
"forwards",300,341.97
"forwards",300,213.08
"forwards",300,346.44
"forwards",300,214.62
"forwards",300,350.08
"forwards",300,217.81
"forwards",300,365.49
"forwards",300,218.79
"guards",425,482.93
"guards",425,291.06
"guards",425,412.8
"guards",425,242.65
"guards",425,364.59
"guards",425,229.09
"guards",425,487.96
"guards",425,285.75
"guards",425,428.2663595
"guards",425,245.2280257
"guards",425,236.366618
"guards",425,371.4423368
"guards",553,485.57
"guards",553,294.7
"guards",553,450.2
"guards",553,274.86
"guards",553,602.28
"guards",553,351.27
"guards",553,496.39
"guards",553,295.43
"guards",553,446.79
"guards",553,273.25
"guards",553,610.51
"guards",553,354.67
"forwards",300,395.82
"forwards",300,239.22
"centers",181,282.5
"centers",181,282.5
"centers",181,282.5
"centers",181,282.5
"centers",181,212.54
"centers",181,212.54
"centers",181,212.54
"centers",181,212.54
"centers",181,295.11
"centers",181,295.11
"centers",181,295.11
"centers",181,295.11
"centers",181,210.13
"centers",181,210.13
"centers",181,210.13
"centers",181,210.13
"forwards",241,322.65
"forwards",241,224.65
"forwards",241,338.22
"forwards",241,224.8
"forwards",300,382.5934697
"forwards",300,246.4232731
"forwards",300,252.7437892
"forwards",300,375.4820652
"forwards",300,381.33
"forwards",300,230.28
"forwards",300,380.22
"forwards",300,242.89
"forwards",300,241.58
"forwards",300,390.19
"forwards",300,250.2012308
"forwards",300,379.1306399
"forwards",300,372.9927851
"forwards",300,241.5423528
"forwards",300,372.08
"forwards",300,232.18
"forwards",300,393.76
"forwards",300,232.87
"centers",567,491.62
"centers",567,330.69
"centers",567,522.35
"centers",300,365.02
"centers",300,232.52
"centers",300,386.52
"centers",300,231.87
"centers",255,326.34
"centers",255,326.34
"centers",255,326.34
"centers",255,326.34
"centers",255,219.79
"centers",255,219.79
"centers",255,219.79
"centers",255,219.79
"centers",255,384.72
"centers",255,384.72
"centers",255,384.72
"centers",255,384.72
"centers",255,366.43
"centers",255,366.43
"centers",255,366.43
"centers",255,366.43
"centers",255,376.89
"centers",255,376.89
"centers",255,376.89
"centers",255,376.89
"centers",255,338.36
"centers",255,338.36
"centers",255,338.36
"centers",255,338.36
"centers",255,220.38
"centers",255,220.38
"centers",255,220.38
"centers",255,220.38
"centers",443,474.6
"centers",443,294.81
"centers",443,501.86
"centers",300,373.51
"centers",300,236.2
"centers",300,236.7764221
"centers",300,398.7159156
"centers",300,243.589217
"centers",300,403.85
"centers",300,253.94
"centers",300,421.37
"centers",300,392.45
"centers",300,248.42
"centers",300,420.99
"centers",443,470.2
"centers",443,297.51
"centers",443,503.03
"guards",241,317.6040369
"guards",241,190.6767543
"guards",241,315.7339889
"guards",241,185.4932276
"guards",241,315.89
"guards",241,184.61
"guards",335,235.78
"guards",335,374.05
"guards",335,454.03
"guards",335,304.74
"guards",211,198.4124197
"guards",211,295.1562901
"guards",208,303.1
"guards",208,198.54
"guards",211,282.67
"guards",211,187.25
"guards",214,324.84
"guards",214,222.4813426
"guards",214,303.98
"guards",214,207.03
"guards",208,288.67
"guards",208,192.08
"guards",122,244.47
"guards",122,172.6
"guards",122,251.55
"guards",122,175.72
"guards",122,230
"guards",122,163.7
"guards",122,173.88
"guards",122,233.11
"guards",134,232.51
"guards",134,156.4
"guards",134,163.3399949
"guards",134,239.0611064
"guards",134,170.3531579
"guards",134,254.5071058
"guards",134,244.0599905
"guards",134,167.6045486
"guards",134,255.7502525
"guards",134,167.528247
"guards",134,236.57
"guards",134,156.15
"guards",122,194.0098079
"guards",122,272.4884017
"guards",122,189.787774
"guards",122,276.0283064
"guards",122,250.75
"guards",122,173.74
"guards",122,176.57
"guards",122,238.18
"guards",122,245.08
"guards",122,169.65
"guards",122,210.72
"guards",122,275.82
"guards",122,194.28
"guards",122,258.39
"guards",180,268.9
"guards",180,186.33
"guards",180,266.64
"guards",180,187.04
"guards",180,258.66
"guards",180,180.27
"guards",180,256.72
"guards",180,176.5
"guards",189,190.98
"guards",189,262.1027269
"guards",189,187.1839312
"guards",189,276.6900218
"guards",189,292.98
"guards",189,183.79
"guards",189,265.242842
"guards",189,189.603197
"guards",189,188.6236741
"guards",189,280.0962293
"guards",189,301.47
"guards",189,194.13
"guards",180,276.81
"guards",180,192.63
"guards",180,266.75
"guards",180,176.94
"guards",180,257.38
"guards",180,175.07
"guards",180,267.47
"guards",180,183.44
"guards",180,195.52
"guards",180,273.78
"guards",180,195.26
"guards",180,261.18
"guards",180,206.8516239
"guards",180,296.1090042
"guards",180,203.25
"guards",180,270.97
"guards",228,271.9708968
"guards",228,207.8940123
"guards",228,203.7413886
"guards",228,275.79
"guards",228,194.47
"guards",228,305.99
"guards",228,205.32
"guards",237,325.32014
"guards",237,306.665
"guards",237,195.463375
"guards",237,310.4171931
"guards",237,274.8182762
"forwards",184,300.71133
"forwards",184,170.69
"forwards",184,300.12829
"forwards",184,168.112
"forwards",184,289.6457
"forwards",184,162.443
"forwards",184,160.968
"forwards",184,284.79152
"forwards",295,353.81205
"forwards",295,193.722
"forwards",295,192.449
"forwards",295,372.5937564
"forwards",295,200.8907203
"forwards",295,385.4714
"forwards",295,217.856
"forwards",295,381.82446
"forwards",295,218.721
"forwards",295,359.61655
"forwards",295,205.242
"forwards",295,360.84485
"forwards",295,206.65
"guards",359,490.51335
"guards",359,271.092
"guards",359,273.12
"guards",359,485.87842
"guards",292,370.22318
"guards",292,224.691
"forwards",283,410.56653
"forwards",283,250.166
"forwards",283,413.62589
"forwards",283,254.34
"forwards",283,254.483
"guards",470,510.55036
"guards",470,281.842
"guards",470,476.38942
"guards",470,256.438
"guards",372,448.19372
"guards",372,253.891
"guards",372,250.826
"guards",370,474.54975
"guards",370,272.198
"guards",707,552.39543
"guards",707,451.583
"guards",707,319.409
"guards",707,551.29889
"guards",707,308.268
"guards",707,438.965
"guards",292,370.3176
"guards",292,205.615
"guards",292,197.456
"guards",292,359.58772
"guards",359,475.1244
"guards",359,258.709
"guards",292,233.399
"guards",292,386.03239
"guards",158,276.59398
"guards",158,276.7576
"guards",158,173.885
"guards",158,174.537
"guards",160,252.42547
"guards",160,170.973
"guards",160,251.5644
"guards",160,170.158
"guards",158,275.18603
"guards",158,171.526
"guards",158,275.79564
"guards",158,172.241
"guards",160,244.4832
"guards",160,156.6
"guards",160,156.6
"guards",160,244.77624
"forwards",184,305.42522
"forwards",184,189.079
"forwards",184,301.18293
"forwards",184,188.301
"forwards",184,311.39393
"forwards",184,200.783
"forwards",184,313.72324
"forwards",184,201.049
"guards",184,178.5453801
"guards",184,311.2107469
"guards",184,308.9534901
"forwards",184,293.52978
"forwards",184,179.039
"forwards",184,302.30642
"forwards",184,182.341
"centers",290,381.31731
"centers",290,243.849
"centers",290,375.10981
"centers",290,238.933
"centers",290,399.00969
"centers",290,258.446
"centers",290,395.03893
"centers",290,256.199
"centers",360,521.0953
"centers",360,286.133
"centers",360,283.127
"guards",100,251.08039
"guards",100,182.789
"forwards",160,282.64718
"forwards",160,193.197
"guards",160,192.2496321
"guards",160,291.3358213
"guards",160,269.57371
"guards",160,190.972
"guards",160,270.01731
"guards",160,191.085
"forwards",160,313.90709
"forwards",160,207.737
"centers",184,339.48839
"centers",184,233.278
"centers",184,339.17983
"centers",184,234.108
"forwards",184,340.20712
"forwards",184,211.04
"centers",184,252.869
"centers",184,255.018
"centers",184,362.1362386
"forwards",184,338.70241
"forwards",184,224.041
"forwards",184,333.12217
"forwards",184,224.901
"forwards",271,346.99261
"forwards",271,229.757
"forwards",271,346.63366
"forwards",271,228.423
"forwards",271,387.8945463
"forwards",271,240.9523569
"forwards",271,382.3387339
"forwards",184,206.9866687
